Micronutrients_70Days,Potassh_50Days,Nursery area (Cents),Seedrate(in Kg),Hectares ,Urea_40Days,Weed28D_thiobencarb,DAP_20days,Pest_60Day(in ml),LP_Mainfield(in Tonnes),Trash(in bundles),Soil Types_clay,Nursery_wet,Variety_ponmani,Variety_delux ponni,Paddy yield(in Kg)
1.5878318795246056,1.5878318795246062,1.5878318795246054,1.5878318795246058,1.5878318795246054,1.587831879524605,1.5878318795246054,1.5878318795246054,1.5878318795246054,1.5878318795246058,1.5227344749101237,0.0,0.0,0.0,0.0,35028
1.5878318795246056,1.5878318795246062,1.5878318795246054,1.5878318795246058,1.5878318795246054,1.587831879524605,1.5878318795246054,1.5878318795246054,1.5878318795246054,1.5878318795246058,1.9695264286053475,1.0,1.0,1.0,0.0,35412
1.5878318795246056,1.5878318795246062,1.5878318795246054,1.5878318795246058,1.5878318795246054,1.587831879524605,1.5878318795246054,1.5878318795246054,1.5878318795246054,1.5878318795246058,1.9695264286053475,0.0,0.0,0.0,1.0,36300
1.5878318795246056,1.5878318795246062,1.5878318795246054,1.5878318795246058,1.5878318795246054,1.587831879524605,1.5878318795246054,1.5878318795246054,1.5878318795246054,1.5878318795246058,1.5227344749101237,1.0,1.0,0.0,0.0,35016
1.5878318795246056,1.5878318795246062,1.5878318795246054,1.5878318795246058,1.5878318795246054,1.587831879524605,1.5878318795246054,1.5878318795246054,1.5878318795246054,1.5878318795246058,1.9695264286053475,0.0,0.0,1.0,0.0,34044
1.5878318795246056,1.5878318795246062,1.5878318795246054,1.5878318795246058,1.5878318795246054,1.587831879524605,1.5878318795246054,1.5878318795246054,1.5878318795246054,1.5878318795246058,1.0759425212148996,0.0,1.0,0.0,1.0,36732
1.5878318795246056,1.5878318795246062,1.5878318795246054,1.5878318795246058,1.5878318795246054,1.587831879524605,1.5878318795246054,1.5878318795246054,1.5878318795246054,1.5878318795246058,1.5227344749101237,1.0,1.0,0.0,0.0,33162
1.5878318795246056,1.5878318795246062,1.5878318795246054,1.5878318795246058,1.5878318795246054,1.587831879524605,1.5878318795246054,1.5878318795246054,1.5878318795246054,1.5878318795246058,1.0759425212148996,0.0,0.0,0.0,1.0,36690
1.5878318795246056,1.5878318795246062,1.5878318795246054,1.5878318795246058,1.5878318795246054,1.587831879524605,1.5878318795246054,1.5878318795246054,1.5878318795246054,1.5878318795246058,1.9695264286053475,1.0,0.0,1.0,0.0,35310
1.5878318795246056,1.5878318795246062,1.5878318795246054,1.5878318795246058,1.5878318795246054,1.587831879524605,1.5878318795246054,1.5878318795246054,1.5878318795246054,1.5878318795246058,1.5227344749101237,0.0,0.0,0.0,0.0,32460
